"dem","slope","aspect","TPI","TRI","ndvi","savi","sample_id","X","Y"
4301,23.012587998047,83.2521949798474,1.875,24.375,0.298908263444901,0.157172814011574,84,-75.4170681148554,-11.6905977822736
4479,13.9628987580623,198.185010925484,-6.5,15,0.37707993388176,0.213601872324944,85,-75.404836127199,-11.645747160867
3857,32.0590653154415,165.808317633652,-5.375,36.875,0.44843316078186,0.153216347098351,86,-75.4034770174594,-11.7204981965447
3649,21.9491261452173,170.601694292446,11.25,25,0.468540042638779,0.194634392857552,87,-75.4143498953762,-11.7245755257634
4197,19.1099291610759,83.3830324146637,-7.375,20.125,0.376256674528122,0.270059764385223,88,-75.3858085908447,-11.6783657946172
3836,17.3312635163125,339.753202614201,1.625,18.375,0.300686895847321,0.161070644855499,89,-75.4075543466782,-11.7306915195916
4211,22.7659984317464,233.516181873064,0.5,23.5,0.389824837446213,0.143774032592773,90,-75.3830903713655,-11.679045349487
4427,32.5242440942286,120.40470908539,0.375,36.875,0.277648091316223,0.132710844278336,91,-75.3667810544904,-11.6661338069609
4584,12.1864470672921,312.079257767972,4.125,12.125,0.337364047765732,0.0839660614728928,92,-75.3375601950891,-11.7055479894091
4439,9.51654405339154,255.048268594231,3.375,9.875,0.310579031705856,0.163985773921013,93,-75.4177476697252,-11.6831226787058
4251,26.9433110938538,288.905846769128,7.5,29.5,0.304746329784393,0.162845224142075,94,-75.354549066834,-11.7001115504507
4438,18.0828864332465,141.682738873701,-5.25,20.25,0.269171684980392,0.109057620167732,95,-75.3708583837091,-11.6729293556588
3956,29.0990897629414,163.624335617201,-3,33,0.511080205440521,0.244871094822884,96,-75.4055156820688,-11.7082662088883
3982,26.0824225234088,271.557872361902,17.75,31,0.26317697763443,0.143983960151672,97,-75.3885268103239,-11.7218573062843
4275,16.6453887780162,102.532898428734,-4.125,17.375,0.339174091815948,0.192627161741257,98,-75.3837699262353,-11.6634155874817
4276,17.5343953066769,48.8426916427604,2.75,18.25,0.294178247451782,0.182689532637596,99,-75.3844494811051,-11.6865204530548
4349,10.622296700986,250.841232312881,3.875,10.875,0.316667109727859,0.164721772074699,100,-75.3960019138916,-11.7021502150601
